procedimiento_numero,procedimiento_nombre,numero_obra,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,renglon_numero,renglon_descripcion,oferente_cuit,oferente_razon_social,oferente_ute_si_no,alternativa_numero,oferta_monto,presupuesto_oficial_renglon_monto,evaluada_si_no,desestimada_si_no,orden_merito
14-0009-LPU20,CONSTRUCCIÓN DEPOSITO PARA EDIFICIO Nº 51 DEL C.A.C. - GCCN,14-0003-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10540,4.2.1-7003.33,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE LOCAL,30-71527370-1,Masa Desarrollos SRL,No,226660,2798980.54,2890000.00,Pendiente,Aceptada,1
14-0015-LPU20,OBRA AMPLIACION DE EDIFICIO DE PROPIEDADES MECANICAS Nº3  - GAIYANN,14-0004-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10490,4.2.1-7003.12,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE EDIFICIO,30-70915815-1,COINAL S.A,No,226900,12720000.00,112000000.00,Pendiente,Aceptada,1
14-0019-LPU18,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",14-0001-OBR19,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10097,4.2.1-7003.33,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE LOCAL,30-71021041-8,PROYECTO A S.R.L.,No,213550,10048147.79,7350000.00,Pendiente,Aceptada,1
14-0019-LPU18,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",14-0001-OBR19,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10097,4.2.1-7003.33,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE LOCAL,30-70797748-1,Estudio Ing Villa SRL,No,213640,9861616.37,7350000.00,Pendiente,Aceptada,
14-0019-LPU18,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",14-0001-OBR19,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10097,4.2.1-7003.33,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE LOCAL,30-71192510-0,Aitue Desarrollos Urbanos S.A.,No,213660,0.00,7350000.00,Pendiente,Aceptada,
14-0020-LPU21,CAMBIO DE CUBIERTA EN PABELLÓN 8 CAB - GAEN,14-0006-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11801,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,30-70768241-4,DINALE S.A.,No,250780,38846984.25,35000000.00,Pendiente,Aceptada,1
14-0020-LPU21,CAMBIO DE CUBIERTA EN PABELLÓN 8 CAB - GAEN,14-0006-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11801,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,30-71045459-7,MR Services SA,No,250870,27868531892.67,35000000.00,Pendiente,Aceptada,1
14-0022-LPU20,PINTURA EPOXI DE LOS EDIFICIOS DEL PROYECTO RA-10,14-0002-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10509,4.2.1-7003.43,CONST. CIVIL PRIVADA; DESCRIPCION: SERVICIO DE PINTURA,30-61187485-1,CONSULPER S.A.,No,237920,349524556.76,328311640.00,Pendiente,Aceptada,1
14-0026-LPU21,PAVIMENTO CALLES DE ACCESO A SECTOR RA-3 - PLAYA DE ESTACIONAMIENTO Y CALLES - CAE GAATN,14-0001-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11733,4.2.2-10008.11,"OBRAS VIALIDAD NACIONAL; TIPO: CONSTRUCCION Y RECONSTRUCCION, DESCRIPCION: OBRA BASICA Y PAVIMENTO",30-71419999-0,C y M Hudson S.A.,No,239780,66402144.97,75000000.00,Pendiente,Aceptada,1
14-0027-LPU21,PUESTA EN VALOR DEL LABORATORIO DE EMPAQUE DE LA PLANTA DE PRODUCCION DE RADIOISOTOPOS DEL CAE-GAATN,14-0006-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10633,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70797748-1,Estudio Ing Villa SRL,No,239740,6375511.66,7500000.00,Pendiente,Aceptada,1
14-0028-LPU21,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,14-0002-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11732,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70932088-9,CODYAR S.R.L.,No,239840,101355450.96,102750000.00,Pendiente,Aceptada,4
14-0028-LPU21,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,14-0002-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11732,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70797748-1,Estudio Ing Villa SRL,No,239760,109798693.42,102750000.00,Pendiente,Aceptada,5
14-0028-LPU21,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,14-0002-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11732,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,33-71180303-9,iprar srl,No,239410,89819124.52,102750000.00,Pendiente,Aceptada,2
14-0028-LPU21,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,14-0002-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11732,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70915815-1,COINAL S.A,No,240000,87967500.00,102750000.00,Pendiente,Aceptada,1
14-0028-LPU21,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,14-0002-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11732,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-68816470-9,Roarco S.A.,No,239950,111453913.40,102750000.00,Pendiente,Aceptada,3
14-0030-LPU21,CONSTRUCION REMODELACIÓN DE CUBIERTAS DE CUATRO (4) GALPONES DEL CENTRO ATÓMICO EZEIZA - GAATN,14-0003-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11802,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71216646-7,DERBAU S.A.,No,251110,19882169.96,20640000.00,Pendiente,Aceptada,2
14-0030-LPU21,CONSTRUCION REMODELACIÓN DE CUBIERTAS DE CUATRO (4) GALPONES DEL CENTRO ATÓMICO EZEIZA - GAATN,14-0003-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11802,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71502444-2,Seo Construcciones s.r.l.,No,239850,18625325.85,20640000.00,Pendiente,Aceptada,1
14-0037-LPU21,CONSTRUCCION EDIFICIO N° 17 - SEGUNDA ETAPA - GAEN,14-0005-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11850,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70915815-1,COINAL S.A,No,251780,65942000.00,50000000.00,Pendiente,Aceptada,1
14-0037-LPU21,CONSTRUCCION EDIFICIO N° 17 - SEGUNDA ETAPA - GAEN,14-0005-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11850,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70797748-1,Estudio Ing Villa SRL,No,251710,67662801.18,50000000.00,Pendiente,Aceptada,2
14-0040-LPU21,PUESTA EN VALOR BAÑOS Y VESTUARIOS DE LA PLANTA DE PRODUCCIÓN DE RADIOISÓTOPOS DEL CAE - GAATN,14-0004-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11845,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70797748-1,Estudio Ing Villa SRL,No,251650,16887330.05,15900000.00,Pendiente,Aceptada,1
14-0040-LPU21,PUESTA EN VALOR BAÑOS Y VESTUARIOS DE LA PLANTA DE PRODUCCIÓN DE RADIOISÓTOPOS DEL CAE - GAATN,14-0004-OBR22,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,11845,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-68388300-6,RYELSA S.R.L.,No,251670,13744000.00,15900000.00,Pendiente,Aceptada,2
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279-0003-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,10001,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,20-11797302-7,Nelson Oscar Pecci,No,201880,2276603.21,2299000.00,Pendiente,Aceptada,2
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279-0003-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9949,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-71459669-8,DAMITECH ARGENTINA SRL,No,201780,2283250.00,2299000.00,Pendiente,Aceptada,4
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279-0003-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9949,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-65744237-9,AC S.R.L.,No,201740,2995564.96,2299000.00,Pendiente,Aceptada,3
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279-0003-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9949,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,33-71180303-9,iprar srl,No,201890,2170968.26,2299000.00,Pendiente,Aceptada,1
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279-0003-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9949,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70826809-3,Filip SA,No,201870,2159877.26,2299000.00,Pendiente,Aceptada,6
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279-0003-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,10001,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70732850-5,PROYECTOS Y DECISIONES S.R.L.,No,201830,2070056.19,2299000.00,Pendiente,Aceptada,5
279-0009-LPU18,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279-0001-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9959,4.2.1-7003.45,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE AULA,30-70916009-1,D&MA S.A.,No,202080,3606528.36,2978800.00,Pendiente,Aceptada,1
279-0009-LPU18,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279-0001-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9959,4.2.1-7003.45,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE AULA,30-71459669-8,DAMITECH ARGENTINA SRL,No,202090,4235117.00,2978800.00,Pendiente,Aceptada,2
279-0009-LPU18,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279-0001-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9959,4.2.1-7003.45,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE AULA,33-50349144-9,INDUSTRIAS POLET,No,202320,6537335.05,2978800.00,Pendiente,Aceptada,3
279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279-0002-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9960,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,33-71180303-9,iprar srl,No,201940,2693807.89,2800000.00,Pendiente,Aceptada,1
279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279-0002-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9998,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,20-11797302-7,Nelson Oscar Pecci,No,202470,1945256.56,2800000.00,Pendiente,Aceptada,3
279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279-0002-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9960,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,33-50349144-9,INDUSTRIAS POLET,No,202410,4776792.05,2800000.00,Pendiente,Aceptada,4
279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279-0002-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9998,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-70916009-1,D&MA S.A.,No,202100,3078561.62,2800000.00,Pendiente,Aceptada,2
279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279-0002-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9998,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-57864279-6,FREYSSINET-TIERRA ARMADA SA,No,202440,3233415.10,2800000.00,Pendiente,Aceptada,5
279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279-0002-OBR19,279/000,279/000 - Departamento de Compras - PSA,382,279/000 - Departamento de Compras - PSA,9998,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,30-71459669-8,DAMITECH ARGENTINA SRL,No,202070,2924000.00,2800000.00,Pendiente,Aceptada,6
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10055,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71209799-6,VILLAREX SA,No,214680,32655528.69,29046173.95,Pendiente,Aceptada,1
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10055,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71021041-8,PROYECTO A S.R.L.,No,214490,36990672.72,29046173.95,Pendiente,Aceptada,5
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-61187485-1,CONSULPER S.A.,No,214550,41848093.56,29046173.95,Pendiente,Aceptada,6
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10055,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70826798-4,Tala Construcciones SA,No,214750,34444009.00,29046173.95,Pendiente,Aceptada,2
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10055,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-67861303-3,CO. SE. BA Construcciones Y Servicios Buenos Aires S.A,No,214740,0.00,29046173.95,Pendiente,Aceptada,7
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71147002-2,BOSQUIMANO SA,No,214670,32893470.63,29046173.95,Pendiente,Aceptada,9
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70797748-1,Estudio Ing Villa SRL,No,214880,36413723.81,29046173.95,Pendiente,Aceptada,10
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71455002-7,CONSTRUMERICA OYS SRL,No,214910,0.00,29046173.95,Pendiente,Aceptada,11
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70889447-4,ALTO SUR SA,No,214800,33358642.52,29046173.95,Pendiente,Aceptada,8
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71139933-6,Grupo Varsovia SRL,No,214400,67000192.53,29046173.95,Pendiente,Aceptada,4
34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34-0001-OBR20,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10302,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70826809-3,Filip SA,No,214290,43059191.21,290461739.50,Pendiente,Aceptada,3
34-0016-LPU21,OBRA DE REMODELACIÓN DE NÚCLEOS SANITARIOS PARA PERSONAS CON MOVILIDAD REDUCIDA EN EL ALA BALCARCE,34-0001-OBR21,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10637,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-68388300-6,RYELSA S.R.L.,No,250320,12867000.00,11763451.29,Pendiente,Aceptada,1
34-0016-LPU21,OBRA DE REMODELACIÓN DE NÚCLEOS SANITARIOS PARA PERSONAS CON MOVILIDAD REDUCIDA EN EL ALA BALCARCE,34-0001-OBR21,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,10637,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71502444-2,Seo Construcciones s.r.l.,No,239320,13952269.84,11763451.29,Pendiente,Aceptada,1
34-0031-LPU21,"Adecuación edilicia, redes, inst. eléctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",34-0001-OBR22,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,11847,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71502444-2,Seo Construcciones s.r.l.,No,252420,56655170.76,49502183.78,Pendiente,Aceptada,1
34-0031-LPU21,"Adecuación edilicia, redes, inst. eléctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",34-0001-OBR22,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,11847,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71209799-6,VILLAREX SA,No,262610,65057122.98,49502183.78,Pendiente,Aceptada,2
34-0031-LPU21,"Adecuación edilicia, redes, inst. eléctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",34-0001-OBR22,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,11847,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70744361-4,BONALDI CONSTRUCCIONES SRL,No,262670,69092782.00,49502183.78,Pendiente,Aceptada,3
34-0031-LPU21,"Adecuación edilicia, redes, inst. eléctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",34-0001-OBR22,34/000,34/000 - Dirección General de Administración - MHA,357,34/000 - Dirección General de Administración - MHA,11847,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70744361-4,SUNIL S.A. - 30516354247,No,252470,77958224.96,49502183.78,Pendiente,Aceptada,
