contrato_numero,contrato_numero_gedo,procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,contrato_perfeccionamiento_fecha,contratista_cuit,contratista_razon_social,contratista_ute_si_no,contrato_monto,contrato_moneda,funcionario_contratante_nombre,funcionario_contratante_cargo
14-0008-CON22,,14-0037-LPU21,CONSTRUCCION EDIFICIO N° 17 - SEGUNDA ETAPA - GAEN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-67930648-   -APN-GAEN#CNEA,14-0005-OBR22,CONSTRUCCION EDIFICIO No 17 - SEGUNDA ETAPA - GAEN,2022-08-01T00:00:00,30-70915815-1,COINAL S.A,NO,6594200.00,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0005-CON22,,14-0040-LPU21,PUESTA EN VALOR BAÑOS Y VESTUARIOS DE LA PLANTA DE PRODUCCIÓN DE RADIOISÓTOPOS DEL CAE - GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-66024201-   -APN-GAATN#CNEA,14-0004-OBR22,PUESTA EN VALOR BAñOS Y VESTUARIOS DE LA PLANTA DE PRODUCCIÓN DE RADIOISTOPOS DEL CAE - GAATN,2022-07-07T00:00:00,30-70797748-1,Estudio Ing Villa SRL,NO,16887330.05,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
15-0002-CON23,,15-0045-LPU22,SISTEMA DE ALIMENTACIÓN ELÉCTRICO DEL EDIFICIO F08 - CEPI,15,15 - Subgerencia de Compras y Contrataciones,106,106 - Comisión Nacional de Actividades Espaciales,EX-2022-104350883-   -APN-GAYRRHH#CONAE,,,,30-70742741-4,PONCE CONSTRUCCIONES S.R.L,NO,164977990.48,ARS,,
23-1016-CON18,,23-0015-LPU17,Demolición dependencias Residencia Presidencial de Olivos.,23/000,23/000 - Dirección General de Administración - SG,301,301 - Secretaria General de la Presidencia de la Nación,EX-2017-14949256-   -APN-DDMYA#SGP,,,2018-05-07T00:00:00,30-65753655-1,DEMOLICIONES MITRE SRL,NO,847494.11,ARS,LEONARDO BELLANTE,Director General
23-0003-CON17,,23-0026-LPU17,Remodelacion 2ds. Etapa Casa de Gobiero,23/000,23/000 - Dirección General de Administración - SG,301,301 - Secretaria General de la Presidencia de la Nación,EX-2017-25096860-   -APN-DDMYA#SGP,,,2017-12-29T00:00:00,30-51649274-7,CONORVIAL SA,NO,255207272.82,ARS,LEONARDO BELLANTE,Director General
279-1002-CON18,,279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2019-19286282-   -APN-DPEI#PSA,279-0003-OBR19,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",2018-12-28T00:00:00,33-71180303-9,iprar srl,NO,2170968.26,ARS,ALEJANDRO ITZCOVICH GRIOT,Director Nacional
279-1010-CON19,,279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2019-19286282-   -APN-DPEI#PSA,279-0003-OBR19,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",,33-71180303-9,iprar srl,NO,2564671.65,ARS,,
279-1011-CON19,,279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2019-19286282-   -APN-DPEI#PSA,279-0003-OBR19,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",,33-71180303-9,iprar srl,NO,2848257.17,ARS,,
279-1004-CON18,,279-0009-LPU18,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2019-08430942-   -APN-DPEI#PSA,279-0001-OBR19,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,2019-01-03T00:00:00,30-70916009-1,D&MA S.A.,NO,3606528.36,ARS,ALEJANDRO ITZCOVICH GRIOT,Director Nacional
279-1009-CON19,,279-0009-LPU18,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2019-08430942-   -APN-DPEI#PSA,279-0001-OBR19,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,,30-70916009-1,D&MA S.A.,NO,4246178.35,ARS,,
279-1003-CON18,,279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2019-18993724-   -APN-DPEI#PSA,279-0002-OBR19,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,2018-12-28T00:00:00,33-71180303-9,iprar srl,NO,2693807.89,ARS,ALEJANDRO ITZCOVICH GRIOT,Director Nacional
279-1012-CON19,,279-0010-LPU18,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2018-49926230-   -APN-DCOMP#PSA,279-0002-OBR19,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,,33-71180303-9,iprar srl,NO,3155877.79,ARS,,
279-1004-CON19,,279-0011-LPU18,REACONDICIONAMIENTO DE OFICINAS PARA OBSERVACIONES JUDICIALES UBICADO EN EZEIZA BUENOS AIRES,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EX-2018-52946999-   -APN-DCOMP#PSA,,,2019-03-29T00:00:00,30-70916009-1,D&MA S.A.,NO,1306793.94,ARS,ALEJANDRO ITZCOVICH GRIOT,Director Nacional
34-1269-CON20,,34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,EX-2020-67545756-   -APN-DTO#MEC,34-0001-OBR20,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,2020-10-07T00:00:00,30-71209799-6,VILLAREX SA,NO,32655528.69,ARS,Dardo Hernan Perez,Subsecretario
34-1460-CON20,,34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,EX-2020-67545756-   -APN-DTO#MEC,34-0001-OBR20,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,,30-71209799-6,VILLAREX SA,NO,40769910.28,ARS,,
34-1461-CON20,,34-0006-LPU19,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,EX-2020-67545756-   -APN-DTO#MEC,34-0001-OBR20,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,,30-71209799-6,VILLAREX SA,NO,42636720.27,ARS,,
34-1788-CON21,,34-0016-LPU21,OBRA DE REMODELACIÓN DE NÚCLEOS SANITARIOS PARA PERSONAS CON MOVILIDAD REDUCIDA EN EL ALA BALCARCE,34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,EX-2021-125740069-   -APN-DTO#MEC,34-0001-OBR21,ARQUITECTURA,2021-12-28T00:00:00,30-68388300-6,RYELSA S.R.L.,NO,1286700.00,ARS,Dardo Hernan Perez,Subsecretario
34-0576-CON22,,34-0031-LPU21,"Adecuación edilicia, redes, inst. eléctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,EX-2022-66278351-   -APN-DTO#MEC,34-0001-OBR22,"Adecuación edilicia, redes, inst. el?ctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",2022-07-01T00:00:00,30-71502444-2,Seo Construcciones s.r.l.,NO,56655170.76,ARS,Dardo Hernan Perez,Subsecretario
34-0603-CON22,,34-0032-LPU21,"Instalación de Iluminación General, Modificación de Tableros y Obra Civil Paseo Colpon 185/89",34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,EX-2022-104310004-   -APN-DTO#MEC,,,,30-65275368-6,FBM S.A.,NO,99000003.03,ARS,,
39-1000-CON19,,39-0016-LPU18,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,39,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,EX-2019-46027068-   -APN-DMAT#PNA,39-0001-OBR19,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,2019-05-20T00:00:00,30-71137690-5,CONAL S.A.,NO,38693665.73,ARS,DANIEL MARIA GIUSTO,Director
39-1001-CON19,,39-0030-LPU18,"AMPLIACION Y REMODELACION DE BAÑOS Y VESTUARIOS CUADRA ALFA/BRAVO, EN LOS INSTITUTOS DE FORMACION",39,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,EX-2019-57842747-   -APN-DMAT#PNA,39-0002-OBR19,"AMPLIACION Y REMODELACION DE BAñOS Y VESTUARIOS CUADRA ALFA/BRAVO, EN LOS INSTITUTOS DE FORMACION",2019-08-02T00:00:00,30-70916009-1,D&MA S.A.,NO,13386989.91,ARS,DANIEL MARIA GIUSTO,Director
39-1002-CON19,,39-0031-LPU18,CONSTRUCCIÓN DE UN (1) EDIFICIO PARA LA PREFECTURA ITATÍ,39,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,EX-2019-90008377-   -APN-DMAT#PNA,39-0003-OBR19,CONSTRUCCIÓN DE UN (1) EDIFICIO PARA LA PREFECTURA ITAT,2019-10-25T00:00:00,30-71035067-8,INDO S.A.,NO,9565676.32,ARS,DANIEL MARIA GIUSTO,Director
40/31-1003-CON21,,40/31-0054-LPU21,REPARACION PARCIAL EDIFICO Nº 17 - SUBMURACION LAVADERO MECANICO E.S.F.A. - ETAPA I - PCIA. CORDOBA,40/031,40/031 - OUC INFRA,381,381 - Estado Mayor General de La Fuerza Aérea,EX-2021-106647842-   -APN-DINF#FAA,40/31-0001-OBR21,REPARACION PARCIAL EDIFICO No 17 - SUBMURACION LAVADERO MECANICO E.S.F.A. - ETAPA I - PCIA. CORDOBA,2021-11-05T00:00:00,30-64071769-2,ANSAL CONSTRUCCIONES SRL,NO,4014549.87,ARS,WALTER CESAR OLMEDO,Jefe de Departamento
40/31-1006-CON20,,40/31-0061-LPU20,REPARACION PARCIAL ALA OESTE - CENTRO CIVICO - ETAPA I - GUARNICION AEREA CORDOBA - PCIA. DE CORDOBA,40/031,40/031 - OUC INFRA,381,381 - Estado Mayor General de La Fuerza Aérea,EX-2020-90936473-   -APN-DINF#FAA,40/31-0002-OBR20,REPARACION PARCIAL ALA OESTE - CENTRO CIVICO - ETAPA I - GUARNICION AEREA CORDOBA - PCIA. DE CORDOBA,2020-12-28T00:00:00,30-64071769-2,ANSAL CONSTRUCCIONES SRL,NO,9137600.65,ARS,CARLOS ALBERTO MAVER,Director
40/31-1005-CON20,,40/31-0066-LPU20,REPARACIÓN GENERAL Y MODERNIZACIÓN ASCENSOR N° 8 (MONTACARGAS) - EDIFICIO ALAS - C.A.B.A.,40/031,40/031 - OUC INFRA,381,381 - Estado Mayor General de La Fuerza Aérea,EX-2020-89026228-   -APN-DINF#FAA,40/31-0001-OBR20,REPARACIÓN GENERAL Y MODERNIZACIÓN ASCENSOR No 8 (MONTACARGAS) - EDIFICIO ALAS - C.A.B.A.,2020-12-21T00:00:00,30-60596505-5,ASCENSORES SERVAS S.A.,NO,4853.47,ARS,CARLOS ALBERTO MAVER,Director
40/31-1004-CON20,,40/31-0066-LPU20,REPARACIÓN GENERAL Y MODERNIZACIÓN ASCENSOR N° 8 (MONTACARGAS) - EDIFICIO ALAS - C.A.B.A.,40/031,40/031 - OUC INFRA,381,381 - Estado Mayor General de La Fuerza Aérea,EX-2020-89025089-   -APN-DINF#FAA,40/31-0001-OBR20,REPARACIÓN GENERAL Y MODERNIZACIÓN ASCENSOR No 8 (MONTACARGAS) - EDIFICIO ALAS - C.A.B.A.,2020-12-21T00:00:00,30-60596505-5,ASCENSORES SERVAS S.A.,NO,15026413.99,ARS,CARLOS ALBERTO MAVER,Director
40/31-1003-CON20,,40/31-0066-LPU20,REPARACIÓN GENERAL Y MODERNIZACIÓN ASCENSOR N° 8 (MONTACARGAS) - EDIFICIO ALAS - C.A.B.A.,40/031,40/031 - OUC INFRA,381,381 - Estado Mayor General de La Fuerza Aérea,EX-2020-89023767-   -APN-DINF#FAA,40/31-0001-OBR20,REPARACIÓN GENERAL Y MODERNIZACIÓN ASCENSOR No 8 (MONTACARGAS) - EDIFICIO ALAS - C.A.B.A.,2020-12-21T00:00:00,30-60596505-5,ASCENSORES SERVAS S.A.,NO,2625269.95,ARS,CARLOS ALBERTO MAVER,Director
451-1613-CON19,,451-0001-LPU19,METROBUS FLORENCIO VARELA,451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-22232420-   -APN-DNS#MTR,451-0002-OBR19,METROBUS FLORENCIO VARELA,2019-04-11T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,234825703.43,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
501-0474-CON20,,451-0001-LPU19,METROBUS FLORENCIO VARELA,501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-22232420-   -APN-DNS#MTR,451-0002-OBR19,METROBUS FLORENCIO VARELA,2019-04-11T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,234825703.43,ARS,,
451-1005-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-60867483-3,MARCALBA S.A.,NO,634578187.48,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1003-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-51650063-4,COARCO SA,NO,618570069.66,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1001-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,583548838.91,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1004-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-70910712-3,POSE SA,NO,610910698.68,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1002-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-69327676-0,CONCRET NOR S.A.,NO,591484070.21,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1006-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-24T00:00:00,30-61080999-1,BRIALES S.A.,NO,143063756.39,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1007-CON18,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-65083338-0,CONSTRUCCIONES INGEVIAL S.A.,NO,3563534.30,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
501-0470-CON20,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-24T00:00:00,30-61080999-1,BRIALES S.A.,NO,143063756.39,ARS,,
501-0471-CON20,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-65083338-0,CONSTRUCCIONES INGEVIAL S.A.,NO,3563534.30,ARS,,
501-0469-CON20,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-51650063-4,COARCO SA,NO,618570069.66,ARS,,
501-0739-CON22,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-60867483-3,MARCALBA S.A.,NO,634578187.48,ARS,,
501-0723-CON22,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,583548838.91,ARS,,
501-0724-CON22,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-70910712-3,POSE SA,NO,610910698.68,ARS,,
501-0468-CON20,,451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-01915722-   -APN-DCTYAOPT#MTR,,,2018-04-20T00:00:00,30-69327676-0,CONCRET NOR S.A.,NO,591484070.21,ARS,,
